Unnamed: 0,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,DOBMissing,TrainingBeforeStart,SurveyBeforeStart
811,Alessandra,Huynh,2020-10-27,2021-11-08,Production Technician I,Brandon Bates,alessandra.huynh@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone B,Part-Time,Voluntary,My live interesting street purpose early.,Production       ,Engineers,1968-12-09,MA,Engineer,Female,31462,Other,Single,Fully Meets,3,1238,2022-12-29,1,3,3,2022-11-14,Leadership Development,Internal,Incomplete,West Marialand,Vanessa Valdez,2,640.14,False,False,False
812,Maeve,Holmes,2022-06-11,2023-06-29,Production Technician I,Angela Brooks,maeve.holmes@bilearner.com,TNS,Voluntarily Terminated,Part-Time,Zone C,Temporary,Voluntary,Guy know tend get best film hold.,Production       ,Splicing,2001-09-07,MA,Technician,Female,6735,Hispanic,Single,Fully Meets,3,1239,2022-10-07,4,5,5,2023-04-28,Project Management,Internal,Incomplete,East Alyssa,Melanie Middleton,3,726.03,False,False,False
813,Alejandra,Mclean,2020-03-19,,Production Technician I,Katie Barry,alejandra.mclean@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Unk,,Production       ,Isp,1985-11-04,MA,Project Manager,Female,60585,Asian,Single,Fully Meets,3,1240,2023-08-02,1,4,3,2023-01-04,Communication Skills,External,Passed,East Nicoletown,Stacy Morton,5,758.75,False,False,False
814,Reuben,Potter,2019-11-07,2022-12-07,Production Technician I,Craig Arias,reuben.potter@bilearner.com,WBL,Voluntarily Terminated,Contract,Zone B,Full-Time,Retirement,Fear night field child yard structure.,Production       ,Field Operations,1992-03-13,MA,Laborer,Female,46736,Black,Married,Fully Meets,3,1241,2023-01-16,4,4,3,2023-02-01,Project Management,External,Failed,Lewismouth,Susan Johnson,5,878.94,False,False,False
815,Marilyn,Greer,2023-04-24,,Production Technician I,Luke Carter,marilyn.greer@bilearner.com,NEL,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Wireline Construction,1959-03-18,MA,Foreman,Female,35941,White,Married,Fully Meets,3,1242,2023-07-28,4,4,1,2023-03-14,Project Management,External,Passed,East Chaseside,Daniel Holt,3,227.9,False,True,False
816,Camila,Nichols,2020-06-04,,Production Technician I,Richard Oliver,camila.nichols@bilearner.com,PL,Active,Contract,Zone A,Temporary,Unk,,Production       ,General - Con,1979-07-03,MA,Manager,Female,11657,White,Widowed,Fully Meets,3,1243,2023-05-04,5,2,3,2023-02-05,Communication Skills,Internal,Incomplete,Ericmouth,Christopher Jones,3,855.27,False,False,False
817,Iris,Bruce,2022-05-23,,Production Technician I,Raymond Hernandez,iris.bruce@bilearner.com,BPC,Active,Part-Time,Zone A,Full-Time,Unk,,Production       ,Isp,1954-11-02,MA,Technician,Male,72528,Asian,Married,Fully Meets,3,1244,2022-08-17,2,3,5,2023-02-18,Technical Skills,External,Incomplete,Mcmahonton,Charles Farrell,5,170.62,False,False,False
818,Henry,Pratt,2019-05-17,,Production Technician I,James Clay,henry.pratt@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Engineers,1961-03-02,MA,Technician,Male,14705,White,Widowed,Fully Meets,3,1245,2022-09-23,3,5,5,2023-06-29,Communication Skills,Internal,Incomplete,Hallton,Garrett Johnson,4,392.14,False,False,False
819,Kira,Soto,2018-09-28,2021-04-25,Production Technician I,Casey Dennis,kira.soto@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone B,Temporary,Resignation,Control store point.,Production       ,Field Operations,1943-11-14,MA,Ceo,Male,5254,Black,Widowed,Fully Meets,3,1246,2023-01-12,4,3,2,2022-12-25,Communication Skills,Internal,Completed,Joneston,Kathleen Dixon,1,206.93,False,False,False
820,Ashanti,Scott,2019-03-04,,Production Technician I,Lisa Gonzalez,ashanti.scott@bilearner.com,EW,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,Wireless,1972-03-26,MA,Foreman,Female,94026,Other,Single,Fully Meets,3,1247,2022-11-13,2,4,5,2022-12-09,Customer Service,External,Completed,East Michaelside,Stephanie Bruce,5,307.13,False,False,False
821,Sarahi,Burke,2021-03-29,2021-12-01,Production Technician I,Theresa Miller,sarahi.burke@bilearner.com,MSC,Active,Part-Time,Zone B,Full-Time,Resignation,Suddenly free computer last spend.,Production       ,Underground,1988-09-09,MA,Operator,Female,90967,White,Divorced,Fully Meets,3,1248,2022-12-05,5,3,2,2022-08-24,Communication Skills,Internal,Passed,Ellisonchester,Nicholas Ryan,4,165.05,False,False,False
822,Aimee,Terry,2019-07-07,2020-02-14,Production Technician I,Christopher Stewart,aimee.terry@bilearner.com,TNS,Active,Full-Time,Zone A,Part-Time,Retirement,Seek TV finally impact really build.,Production       ,Field Operations,1996-11-30,MA,Driver,Female,46879,Asian,Divorced,Fully Meets,3,1249,2022-12-22,2,4,2,2022-08-15,Communication Skills,Internal,Completed,Cruzmouth,Cheyenne Rice,4,371.27,False,False,False
823,Jerimiah,Jackson,2018-09-06,,Production Technician I,Sheri Pearson,jerimiah.jackson@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Production       ,General - Sga,1990-08-12,MA,Lineman,Female,70353,Black,Widowed,Fully Meets,3,1250,2023-04-26,4,5,1,2023-04-28,Communication Skills,External,Incomplete,Margaretmouth,Anna Floyd,3,366.78,False,False,False
824,Callie,Murray,2018-09-25,,Production Technician I,Dennis Davis,callie.murray@bilearner.com,CCDR,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,Splicing,1948-05-03,MA,Laborer,Female,27888,Asian,Married,Fully Meets,3,1251,2022-12-03,5,5,3,2023-02-04,Communication Skills,External,Failed,Nancyside,Wyatt Hansen,5,205.92,False,False,False
825,Fabian,Young,2022-03-11,2022-04-25,Production Manager,Timothy Hester,fabian.young@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Voluntary,Dinner skill guess key building.,Production       ,Project Management - Con,1982-02-21,MA,Technician,Female,36258,Asian,Divorced,Fully Meets,3,1252,2023-06-10,2,3,2,2022-11-20,Leadership Development,Internal,Completed,South Brent,Alicia Moore,1,314.51,False,False,False
826,Juliette,Morton,2020-07-13,2021-10-06,Production Manager,Thomas Baker,juliette.morton@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Retirement,Necessary account office.,Production       ,Project Management - Con,1971-05-15,MA,Engineer,Female,17844,Asian,Divorced,Fully Meets,3,1253,2023-01-10,2,4,2,2023-06-03,Customer Service,Internal,Completed,South Cynthia,Jodi Gibson DDS,2,793.86,False,False,False
827,Alyvia,Sellers,2020-06-22,,Production Technician II,Tracy Ramos,alyvia.sellers@bilearner.com,WBL,Active,Contract,Zone B,Full-Time,Unk,,Production       ,General - Con,1950-07-06,MA,Groundman,Female,87263,White,Married,Fully Meets,3,1254,2023-06-18,3,1,5,2023-04-20,Project Management,Internal,Passed,Allisonport,Ryan Adkins,3,252.53,False,False,False
828,Tyler,Gay,2019-09-30,2021-03-02,Production Technician II,Alicia Lindsey,tyler.gay@bilearner.com,NEL,Voluntarily Terminated,Full-Time,Zone A,Temporary,Resignation,Shoulder then shake.,Production       ,General - Con,1984-11-24,MA,Laborer,Female,8671,Black,Married,Fully Meets,3,1255,2022-11-03,3,1,1,2022-10-23,Customer Service,External,Passed,West Laurafort,Jasmin Flynn,2,693.25,False,False,False
829,Noemi,Randall,2020-01-08,,Production Technician II,Adam Harmon,noemi.randall@bilearner.com,PL,Active,Contract,Zone A,Temporary,Unk,,Production       ,Wireline Construction,1991-08-14,MA,Laborer,Female,16520,White,Widowed,Fully Meets,3,1256,2022-10-24,4,4,2,2023-05-26,Project Management,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76,False,False,False
830,Jazlene,Lozano,2021-10-16,,Production Technician II,Brandon Lane,jazlene.lozano@bilearner.com,BPC,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,Engineers,1978-07-11,MA,Engineer,Female,22868,Asian,Divorced,Fully Meets,3,1257,2023-07-19,2,1,1,2023-05-23,Technical Skills,Internal,Failed,New Elizabethton,Ryan King,1,694.61,False,False,False
831,Jennifer,Salazar,2022-06-29,,Production Technician II,Jeremy Thomas,jennifer.salazar@bilearner.com,CCDR,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,Aerial,1977-10-16,MA,Foreman,Female,59954,Other,Widowed,Fully Meets,3,1258,2023-04-16,3,5,4,2023-06-30,Project Management,Internal,Incomplete,Alyssabury,Cody Brown,1,732.02,False,False,False
832,Vaughn,Leonard,2022-05-01,2023-04-24,Production Technician I,Justin Phelps,vaughn.leonard@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone A,Temporary,Retirement,Section effort four increase.,Production       ,General - Con,1956-07-14,MA,Laborer,Male,43998,White,Single,Fully Meets,3,1259,2022-10-17,1,3,4,2023-01-04,Leadership Development,Internal,Completed,Port Troyton,Wayne Morgan,1,897.62,False,False,False
833,Caitlin,Robertson,2018-08-16,,Production Technician I,Tabitha Martin,caitlin.robertson@bilearner.com,TNS,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Project Management - Con,1957-06-18,MA,Manager,Female,75748,Asian,Married,Fully Meets,3,1260,2023-02-21,5,2,5,2022-11-21,Leadership Development,Internal,Completed,Port Rachelshire,Michael Smith,2,786.57,False,False,False
834,Elyse,Huerta,2019-12-27,,Production Technician I,Katherine Huber,elyse.huerta@bilearner.com,PYZ,Active,Part-Time,Zone C,Temporary,Unk,,Production       ,Field Operations,1959-09-27,MA,Laborer,Female,87591,Hispanic,Married,Fully Meets,3,1261,2023-07-13,2,5,4,2023-07-26,Project Management,External,Incomplete,Thompsonberg,Alicia Dunn,3,613.93,False,False,False
835,Kyle,Sanders,2021-07-01,2023-03-28,Production Technician I,James Benson,kyle.sanders@bilearner.com,WBL,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Retirement,Her relationship national win raise American.,Production       ,Engineers,1977-03-16,MA,Engineer,Female,23777,Hispanic,Widowed,Fully Meets,3,1262,2022-12-16,3,4,1,2023-01-17,Communication Skills,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8,False,False,False
836,Barrett,Jennings,2022-10-20,,Production Technician I,Thomas Rogers,barrett.jennings@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,Shop (Fleet),1952-11-14,MA,Foreman,Female,34732,Hispanic,Divorced,Fully Meets,3,1263,2023-01-24,4,5,3,2023-03-03,Communication Skills,Internal,Failed,Port Jason,Larry Yang,5,784.1,False,False,False
837,Darius,Koch,2019-02-15,,Production Technician I,Veronica Alexander MD,darius.koch@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,1998-10-23,MA,Director,Female,28097,Hispanic,Married,Fully Meets,3,1264,2023-04-21,3,5,4,2023-05-16,Customer Service,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67,False,False,False
838,Kolton,Dawson,2022-01-17,2022-07-25,Production Technician I,Angela Jackson,kolton.dawson@bilearner.com,BPC,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Retirement,Page year stock own popular health.,Production       ,Field Operations,1976-05-28,MA,Laborer,Male,39841,Black,Widowed,Fully Meets,3,1265,2023-06-28,4,2,5,2023-06-15,Leadership Development,Internal,Incomplete,Rebeccamouth,Stephen Mcdonald,4,494.96,False,False,False
839,Ciara,Cole,2021-11-14,2022-07-01,Production Technician I,Lisa Campbell,ciara.cole@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Involuntary,Form song garden right newspaper.,Production       ,Project Management - Con,1971-04-04,MA,Manager,Male,46871,Hispanic,Divorced,Fully Meets,3,1266,2023-03-29,1,3,1,2023-03-30,Project Management,Internal,Incomplete,East Christopher,Melissa Brown,5,465.72,False,False,False
840,Virginia,Wallace,2020-11-14,2020-12-22,Production Technician I,Sophia Bowman,virginia.wallace@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Better five blue particularly a media firm.,Production       ,General - Con,1971-11-09,MA,Lineman,Female,91614,White,Divorced,Fully Meets,3,1267,2023-04-25,4,1,5,2023-02-27,Technical Skills,Internal,Failed,Lewisview,Paul Martin,1,507.43,False,False,False
841,Malik,Ochoa,2023-02-25,,Production Technician I,Chelsey Crawford,malik.ochoa@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,General - Con,1961-12-26,MA,Technician,Female,89515,Other,Single,Fully Meets,3,1268,2023-04-18,2,1,2,2023-05-25,Project Management,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97,False,False,False
842,Elyse,Pratt,2022-08-23,,Production Technician I,Brianna Blanchard,elyse.pratt@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Yard (Material Handling),1965-04-28,MA,Laborer,Female,82774,Black,Divorced,Fully Meets,3,1269,2022-09-19,1,2,4,2022-12-23,Customer Service,External,Passed,Lake Kevin,Tommy Wilson,4,813.9,False,False,False
843,Yahir,Hill,2019-05-01,2019-12-31,Production Technician I,Adam Miller,yahir.hill@bilearner.com,TNS,Active,Part-Time,Zone C,Full-Time,Voluntary,When approach anyone hold along.,Production       ,Field Operations,1967-10-17,MA,Laborer,Female,79937,Hispanic,Married,Fully Meets,3,1270,2023-03-16,5,5,1,2022-08-21,Leadership Development,External,Completed,South Michael,Carrie Anderson,2,360.02,False,False,False
844,Harley,Abbott,2020-04-26,,Production Technician I,Brenda Johnson,harley.abbott@bilearner.com,PYZ,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,General - Sga,1951-11-16,MA,Foreman,Female,95232,Asian,Widowed,Fully Meets,3,1271,2023-01-13,3,1,5,2023-02-15,Customer Service,Internal,Completed,North Sheila,Gina White,3,692.71,False,False,False
845,Dawson,Pratt,2021-02-08,2022-07-15,Production Technician I,Natalie Shaffer,dawson.pratt@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Involuntary,National detail star recently.,Production       ,General - Eng,1971-05-27,MA,Coordinator,Female,37465,Black,Single,Fully Meets,3,1272,2022-10-31,4,2,3,2023-02-24,Technical Skills,Internal,Failed,Jonesside,Michelle Holmes,3,233.12,False,False,False
846,Michaela,Smith,2020-10-29,2021-01-26,Production Manager,Rachel Wilkins,michaela.smith@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Retirement,Treat role defense or common service network.,Production       ,General - Sga,1957-03-14,MA,Manager,Female,50409,Asian,Single,Fully Meets,3,1273,2023-02-26,1,4,2,2023-05-24,Technical Skills,External,Incomplete,New Seanberg,Sharon Park,1,881.48,False,False,False
847,Lillie,Leblanc,2022-11-22,,Production Manager,Nicole Pierce,lillie.leblanc@bilearner.com,PL,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Engineers,1975-06-11,MA,Engineer,Female,2006,Black,Single,Fully Meets,3,1274,2023-03-19,2,1,5,2023-05-22,Project Management,Internal,Passed,West Deanna,Curtis Price,2,448.48,False,False,False
848,Sincere,Rivera,2022-10-11,,Production Technician II,Nicole Gamble,sincere.rivera@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Aerial,1982-06-19,MA,Splicer,Female,55846,Other,Single,Fully Meets,3,1275,2022-08-19,2,5,3,2023-06-13,Communication Skills,External,Incomplete,Port Michellechester,Amber Church,3,288.88,False,False,True
849,Lucas,Good,2019-12-28,,Production Technician II,Lauren Gonzales,lucas.good@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,General - Sga,1978-04-21,MA,Administrator,Female,74245,White,Married,Fully Meets,3,1276,2023-06-01,1,4,5,2023-07-15,Communication Skills,Internal,Failed,East Katherine,Chris Clark,1,572.45,False,False,False
850,Jonas,Hernandez,2019-04-11,,Production Technician II,Margaret Murphy,jonas.hernandez@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Splicing,1984-10-05,MA,Technician,Female,95565,Other,Single,Fully Meets,3,1277,2023-08-01,4,3,3,2023-03-27,Communication Skills,Internal,Passed,Reneeshire,Sandra Russell,3,141.38,False,False,False
851,Cason,Tyler,2020-10-26,,Production Technician II,Christine Oneill,cason.tyler@bilearner.com,NEL,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,Field Operations,1955-08-13,MA,Laborer,Female,89318,White,Divorced,Fully Meets,3,1278,2023-05-28,2,4,5,2023-02-04,Technical Skills,Internal,Incomplete,Lake Bryan,Donna Barr,1,331.46,False,False,False
852,Malachi,Singleton,2021-07-09,2023-01-27,Production Technician II,Regina Rogers,malachi.singleton@bilearner.com,PL,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Resignation,Mrs technology behavior fear.,Production       ,Field Operations,1994-07-16,MA,Technician,Female,29507,White,Married,Fully Meets,3,1279,2022-10-11,3,3,5,2022-11-23,Technical Skills,Internal,Incomplete,New Rachelfort,Jose Mcdaniel,4,704.93,False,False,False
853,Natalie,Christensen,2022-01-12,,Production Technician I,Timothy Blackwell,natalie.christensen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,General - Sga,1944-04-19,MA,Administrator,Male,77219,Black,Single,Fully Meets,3,1280,2022-11-12,3,2,2,2023-06-08,Leadership Development,External,Completed,Evanhaven,Robert Novak,4,450.65,False,False,False
854,Jordyn,Sheppard,2020-08-07,2021-07-20,Production Technician I,Jeffrey Bowen,jordyn.sheppard@bilearner.com,TNS,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Retirement,Tree cause agency reduce fine air.,Production       ,Finance & Accounting,1968-12-19,MA,Administrative,Female,30117,White,Widowed,Fully Meets,3,1281,2023-05-31,4,2,1,2023-01-31,Project Management,External,Completed,Andrewsfurt,Sarah Walker,3,775.97,False,False,False
855,Rohan,Matthews,2021-04-10,2022-11-19,Production Technician I,Eileen Rodriguez,rohan.matthews@bilearner.com,BPC,Voluntarily Terminated,Part-Time,Zone A,Temporary,Involuntary,All guy thus card fill walk.,Production       ,Catv,1980-12-28,MA,Administrative,Female,30179,Black,Widowed,Fully Meets,3,1282,2022-10-04,3,3,1,2023-02-20,Leadership Development,External,Passed,Glennberg,Jasmine Conner,4,376.0,False,False,False
856,Taniya,Stafford,2021-01-11,,Production Technician I,Deborah Arnold,taniya.stafford@bilearner.com,CCDR,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,General - Eng,2000-02-18,MA,Drafter,Female,72581,Asian,Married,Fully Meets,3,1283,2022-11-19,2,1,2,2023-01-17,Customer Service,External,Failed,Christopherport,Karen Thomas,2,106.54,False,False,False
857,Cherish,Preston,2019-12-08,,Production Technician I,Chase Hardy,cherish.preston@bilearner.com,EW,Active,Contract,Zone B,Full-Time,Unk,,Production       ,General - Eng,1985-01-28,MA,Supervisor,Female,39352,Other,Married,Fully Meets,3,1284,2022-11-24,5,1,5,2022-11-10,Communication Skills,External,Completed,New Johnstad,Richard Rogers,1,852.87,False,False,False
858,Briley,Hanson,2021-09-26,,Production Technician I,John Gonzalez,briley.hanson@bilearner.com,MSC,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,General - Eng,1994-07-21,MA,Supervisor,Male,89374,Hispanic,Widowed,Fully Meets,3,1285,2023-07-05,3,2,2,2022-11-08,Project Management,External,Completed,Port Robertmouth,Jessica Wallace,4,469.03,False,False,False
859,Hugo,Tate,2021-09-09,2021-10-28,Production Technician I,Jennifer Randall,hugo.tate@bilearner.com,NEL,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,Never few away level attack buy.,Production       ,Field Operations,1999-05-25,MA,Driller,Male,74629,Asian,Divorced,Fully Meets,3,1286,2023-04-13,1,5,1,2023-05-28,Customer Service,Internal,Incomplete,West John,Shannon Taylor,2,274.85,False,False,False
860,Daniel,Griffin,2020-09-19,2023-02-20,Production Technician I,Evelyn Diaz,daniel.griffin@bilearner.com,PL,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Retirement,American quickly treatment.,Production       ,General - Con,1943-09-18,MA,Technician,Female,56136,Black,Widowed,Fully Meets,3,1287,2023-07-30,3,5,2,2023-03-31,Technical Skills,External,Completed,Patrickfort,Charles Olson,1,342.57,False,False,False
861,Dakota,Salinas,2022-01-11,2022-10-26,Production Technician I,Justin Johnson,dakota.salinas@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Voluntary,Skill shoulder bag suffer.,Production       ,Aerial,1998-05-29,MA,Lineman,Female,69514,Hispanic,Single,Fully Meets,3,1288,2023-07-15,2,4,5,2023-05-13,Technical Skills,External,Incomplete,North Danielle,Dana Neal,5,948.31,False,False,False
862,Janiyah,Ballard,2019-07-18,,Production Technician I,Kevin Pearson,janiyah.ballard@bilearner.com,SVG,Active,Full-Time,Zone C,Full-Time,Unk,,Production       ,General - Con,1942-01-07,MA,Clerk,Female,40307,Other,Single,Fully Meets,3,1289,2023-05-09,5,3,1,2022-10-08,Leadership Development,Internal,Incomplete,Campbellmouth,Steven Sanchez,3,900.52,False,False,False
863,Annika,Malone,2021-04-13,,Production Technician I,Bryan Salas,annika.malone@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,General - Sga,1996-05-14,MA,Administrator,Female,57255,White,Married,Fully Meets,3,1290,2023-04-12,5,4,2,2023-05-14,Leadership Development,External,Completed,East Denisechester,Alyssa Williams,4,140.72,False,False,False
864,Celeste,Lin,2023-06-17,2023-07-27,Production Technician I,Jeffery Williams,celeste.lin@bilearner.com,WBL,Active,Contract,Zone B,Temporary,Voluntary,Finally provide various but.,Production       ,Engineers,1988-12-03,MA,Coordinator,Female,94486,Black,Divorced,Fully Meets,3,1291,2023-05-24,5,4,5,2022-09-12,Technical Skills,Internal,Passed,Williamburgh,Leslie Clark,3,913.62,False,True,True
865,Larissa,Warner,2018-10-27,,Production Technician I,Amy Hess,larissa.warner@bilearner.com,BPC,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,Engineers,1943-06-27,MA,Engineer,Female,28931,White,Divorced,Fully Meets,3,1292,2023-03-21,1,4,3,2023-02-22,Customer Service,Internal,Completed,Jessicatown,Stephanie Johnson,5,950.3,False,False,False
866,Lawrence,Cross,2021-06-01,2023-04-29,Production Technician I,Ashley Craig,lawrence.cross@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Voluntary,Line with read most.,Production       ,Wireline Construction,1993-10-21,MA,Lineman,Female,60878,Asian,Single,Fully Meets,3,1293,2023-03-15,2,3,2,2023-03-12,Project Management,Internal,Passed,Martinton,Cynthia Patton,2,668.77,False,False,False
867,Kara,Barnes,2023-04-07,2023-05-07,Production Manager,Lisa Ward,kara.barnes@bilearner.com,EW,Active,Part-Time,Zone B,Part-Time,Voluntary,Choose thousand know often size company.,Production       ,Wireline Construction,1970-09-28,MA,Laborer,Female,58589,Hispanic,Single,Fully Meets,3,1294,2023-08-03,5,4,2,2022-08-15,Technical Skills,Internal,Passed,Michellemouth,Robin Lewis,3,906.05,False,True,False
868,Emery,Schmidt,2021-06-13,,Production Technician II,Richard Santos,emery.schmidt@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,General - Con,1970-10-24,MA,Groundman,Female,26059,Other,Married,Fully Meets,3,1295,2023-02-18,3,3,3,2023-01-03,Communication Skills,Internal,Incomplete,Starkmouth,Timothy Santos,5,689.77,False,False,False
869,Adalyn,Vaughan,2019-03-13,2020-09-12,Production Technician II,Nathan Hill,adalyn.vaughan@bilearner.com,WBL,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Involuntary,Employee product meeting who kind.,Production       ,Field Operations,1985-01-27,MA,Administrator,Female,94411,Asian,Widowed,Fully Meets,3,1296,2023-02-07,1,1,5,2023-03-05,Communication Skills,External,Passed,Clarkfort,Michael Gray,2,694.27,False,False,False
870,Chase,Lloyd,2019-05-24,2021-10-09,Production Technician II,Cindy Smith,chase.lloyd@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone A,Temporary,Resignation,Suffer phone son property money.,Production       ,Isp,1968-08-08,MA,Technician,Female,46980,Other,Married,Fully Meets,3,1297,2022-08-10,2,4,4,2023-06-14,Project Management,External,Passed,New Joshuaton,Penny Lopez,3,352.75,False,False,False
871,Hallie,Delacruz,2023-02-25,,Production Technician II,Gerald Dunlap,hallie.delacruz@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,General - Con,1983-10-03,MA,Laborer,Female,12398,Black,Married,Fully Meets,3,1298,2022-12-06,1,2,1,2023-05-16,Project Management,Internal,Passed,Dudleyfurt,Kayla Cruz,3,411.17,False,False,True
872,Tia,Atkins,2020-03-24,,Production Technician II,Joseph Dixon,tia.atkins@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Aerial,1953-10-10,MA,Foreman,Female,95571,Asian,Widowed,Fully Meets,3,1299,2023-07-02,1,2,2,2023-01-21,Project Management,External,Completed,Atkinsonborough,Karen Ritter,3,358.81,False,False,False
873,Nia,Nicholson,2021-06-12,,Production Technician II,Angela Garcia,nia.nicholson@bilearner.com,CCDR,Active,Contract,Zone B,Temporary,Unk,,Production       ,Field Operations,1967-05-09,MA,Laborer,Female,91189,Black,Married,Fully Meets,3,1300,2022-10-07,1,3,1,2023-04-29,Technical Skills,Internal,Passed,Greentown,Jose Young,4,588.64,False,False,False
874,Lilian,Norton,2019-03-22,2022-03-23,Production Technician I,Todd Nelson,lilian.norton@bilearner.com,MSC,Voluntarily Terminated,Part-Time,Zone B,Temporary,Retirement,Space long most area product drug tree.,Production       ,Field Operations,1950-03-28,MA,Driller,Female,62803,Asian,Widowed,Fully Meets,3,1301,2023-01-21,1,4,2,2022-09-22,Communication Skills,Internal,Incomplete,Ellenburgh,Linda Bell,1,472.18,False,False,False
875,Aliana,Pennington,2021-03-08,2022-12-17,Production Technician I,Aaron Mendoza,aliana.pennington@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Voluntary,Study way front fly member.,Production       ,Field Operations,2000-02-07,MA,Laborer,Female,77552,Other,Married,Fully Meets,3,1302,2023-06-04,1,2,4,2022-08-20,Project Management,Internal,Passed,South Jennifer,Jennifer Thornton,2,758.79,False,False,False
876,Estrella,Benitez,2020-05-15,,Production Technician I,Crystal Taylor,estrella.benitez@bilearner.com,PYZ,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Finance & Accounting,1957-01-02,MA,Administration,Female,35973,Hispanic,Single,Fully Meets,3,1303,2023-01-01,5,3,5,2023-06-02,Leadership Development,Internal,Failed,Moorehaven,Zoe Vasquez,3,921.81,False,False,False
877,Kylie,Gilbert,2023-01-24,,Production Technician I,Amanda Barnes,kylie.gilbert@bilearner.com,WBL,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Safety,1996-02-13,MA,Safety,Female,47801,Asian,Widowed,Fully Meets,3,1304,2023-04-11,3,5,1,2023-01-16,Communication Skills,External,Completed,Jayfort,Ariel Brown,3,405.08,False,True,False
878,Oscar,Munoz,2021-01-06,2022-12-30,Production Technician I,John Bradford,oscar.munoz@bilearner.com,NEL,Voluntarily Terminated,Full-Time,Zone B,Temporary,Resignation,Fact soldier film yet president example car.,Production       ,Field Operations,1998-11-14,MA,Laborer,Male,1615,White,Married,Fully Meets,3,1305,2023-02-22,2,5,2,2023-07-08,Technical Skills,Internal,Failed,Lake Jaredstad,Stephen West,3,784.22,False,False,False
